GEOGID,COUNTY,GEOGDESC,urban_index,Age 5 - Males
13260408,DUBLIN,KILLINEY-SHANKILL,0.9773295994656116,235
13240401,WEXFORD,KILMUCKRIDGE,0.21992898115269052,142
1330404,CLARE,KILRUSH,0.2073244055752938,154
13260423,DUBLIN,KIMMAGE-RATHMINES,1.0,276
13230402,WESTMEATH,KINNEGAD,0.3535254339492614,144
13160401,MEATH,LAYTOWN-BETTYSTOWN,0.6059861857252494,297
1380406,KILDARE,LEIXLIP,0.7915467517610935,93
1350405,DONEGAL,LETTERKENNY,0.49151543645196677,228
1350406,DONEGAL,LIFFORD-STRANORLAR,0.28515721852811904,181
13120422,LIMERICK,LIMERICK CITY EAST,0.8779349435735078,247
13120421,LIMERICK,LIMERICK CITY NORTH,1.0,191
13120420,LIMERICK,LIMERICK CITY WEST,0.9199580382900603,236
13220402,WATERFORD,LISMORE,0.15346569757135262,76
1370400,KERRY,LISTOWEL,0.21675342135199419,184
13130402,LONGFORD,LONGFORD,0.4349189693365979,142
1360403,GALWAY,LOUGHREA,0.4386200363148338,170
13260411,DUBLIN,LUCAN,0.9977686308492202,392
1340408,CORK,MACROOM,0.4271993930964724,287
1340409,CORK,MALLOW,0.5464732941477127,216
13110400,LEITRIM,MANORHAMILTON,0.16478434089728045,73
1380400,KILDARE,MAYNOOTH,0.6881539525236231,248
1340402,CORK,MIDLETON,0.5614470600224193,318
1350401,DONEGAL,MILFORD,0.10461107217939733,84
13230401,WESTMEATH,MOATE,0.36847659910243136,141
13170400,MONAGHAN,MONAGHAN,0.2989489228630994,160
1310402,CARLOW,MUINEBEAG,0.32281149383391045,121
13230403,WESTMEATH,MULLINGAR,0.5459765582995807,194
1380402,KILDARE,NAAS,0.7175182321893958,315
13160405,MEATH,NAVAN,0.7428746834471645,278
13210400,TIPPERARY,NENAGH,0.36576483279395905,162
13240402,WEXFORD,NEW ROSS,0.3099736824347122,191
1380407,KILDARE,NEWBRIDGE,0.7001287070306215,243
13120400,LIMERICK,NEWCASTLE WEST,0.3333796264148323,188
13210405,TIPPERARY,NEWPORT,0.4793063849333946,127
13260426,DUBLIN,NORTH INNER CITY,1.0,290
13260418,DUBLIN,ONGAR,1.0,334
13260419,DUBLIN,PALMERSTOWN-FONTHILL,1.0,128
13260424,DUBLIN,PEMBROKE,1.0,194
1390402,KILKENNY,PILTOWN,0.5130173859323979,160
13100401,LAOIS,PORTLAOISE,0.5300256231073841,254
13220401,WATERFORD,PORTLAW-KILMACTHOMAS,0.34527134329992887,124
13260413,DUBLIN,RATHFARNHAM-TEMPLEOGUE,1.0,317
13160403,MEATH,RATOATH,0.6547679389703813,277
13190401,ROSCOMMON,ROSCOMMON,0.30662476019429363,167
13210401,TIPPERARY,ROSCREA-TEMPLEMORE,0.3909742036918418,123
13240403,WEXFORD,ROSSLARE,0.2313503790312219,140
13260400,DUBLIN,RUSH-LUSK,0.6904034841810173,298
1330402,CLARE,SHANNON,0.5854700580556179,210
1340407,CORK,SKIBBEREEN-WEST CORK,0.31117052333978673,202
13200401,SLIGO,SLIGO-DRUMCLIFF,0.25607466551575314,111
13200402,SLIGO,SLIGO-STRANDHILL,0.5814951361435615,115
13260425,DUBLIN,SOUTH EAST INNER CITY,1.0,174
13260430,DUBLIN,SOUTH WEST INNER CITY,1.0,187
13260405,DUBLIN,STILLORGAN,1.0,185
13150405,MAYO,SWINFORD,0.0315316832238873,106
13260401,DUBLIN,SWORDS,0.7846153846153847,312
13260412,DUBLIN,TALLAGHT CENTRAL,1.0,235
13260415,DUBLIN,TALLAGHT SOUTH,0.9952322822857406,303
13210406,TIPPERARY,THURLES,0.3514498590414821,118
1370405,KERRY,TRALEE,0.5014885744145976,211
13220420,WATERFORD,TRAMORE-WATERFORD CITY WEST,0.8469753790966902,150
13160404,MEATH,TRIM,0.5926649631745079,229
1360401,GALWAY,TUAM,0.4657964037944216,231
13180401,OFFALY,TULLAMORE,0.48576266770874044,230
1310401,CARLOW,TULLOW,0.3476024671707123,113
13220422,WATERFORD,WATERFORD CITY EAST,0.8690464344941956,144
13220421,WATERFORD,WATERFORD CITY SOUTH,0.9846004729965494,155
13150404,MAYO,WESTPORT,0.30906188857996086,135
13240404,WEXFORD,WEXFORD,0.5111828851012119,179
13250403,WICKLOW,WICKLOW,0.6586395233366437,246
