OBJECTID,LEA_GUID,LEA_OFFICIAL,CSO_LEA,LEA_ID,COUNTY,Shape__Area,Shape__Length
83,2ae19629-3ef4-13a3-e055-999330000001,Y,GORT-KINVARA,1360405,GALWAY,616792265.397858,304279.853991348
84,2ae19629-3f01-13a3-e055-000000000001,Y,GRAIGUECULLEN-PORTARLINGTON,13100402,LAOIS,518584934.958679,155431.574213008
85,2ae19629-3f0d-13a3-e055-000000000001,Y,GRANARD,13130400,LONGFORD,413053009.899261,137196.979197351
86,2ae19629-3ef4-13a3-e055-000000000001,Y,GREYSTONES,13250402,WICKLOW,65179976.5420532,55608.3042095923
87,199ec147-f6f0-4b60-8a67-fae3bd8625f8,N,HOWTH-MALAHIDE,13260404,DUBLIN,53016025.6108398,73667.2917222549
88,2ae19629-3f63-13a3-e055-000000000001,Y,KANTURK,1340400,CORK,924677467.744598,230418.95959944
89,2ae19629-3f18-13a3-e055-000000000001,Y,KELLS,13160400,MEATH,819914572.016907,242010.420298748
90,2ae19629-3f6e-13a3-e055-000000000001,Y,KENMARE,1370403,KERRY,1861529637.49529,826078.772118795
91,2ae19629-3f73-13a3-e055-000000000001,Y,KILDARE,1380404,KILDARE,275432427.880707,133687.019590306
92,2ae19629-3f75-13a3-e055-000000000001,Y,KILKENNY,1390401,KILKENNY,78477686.4599609,50261.0984046989
93,2ae19629-3f60-13a3-e055-000000000001,Y,KILLALOE,1330401,CLARE,967005974.465881,189304.878895432
94,2ae19629-3f6d-13a3-e055-000000000001,Y,KILLARNEY,1370402,KERRY,579077595.105072,164413.017081133
95,d65ef6e7-75e6-49d9-bda9-d4690e8f68dc,N,KILLINEY-SHANKILL,13260408,DUBLIN,31760839.2213135,30286.9595780339
96,2ae19629-3f3a-13a3-e055-000000000001,Y,KILMUCKRIDGE,13240401,WEXFORD,400476464.637726,116497.935617764
97,2ae19629-3ef4-13a3-e055-000000044001,Y,KILRUSH,1330404,CLARE,1142909206.57675,273975.319212709
98,2ae19629-3f59-13a3-e055-000000000001,Y,KIMMAGE-RATHMINES,13260423,DUBLIN,10370127.423645,15848.094181417
99,2ae19629-3f38-13a3-e055-000000000001,Y,KINNEGAD,13230402,WESTMEATH,713836293.786743,214946.294128055
100,9821f9f9-aacc-4b08-94ac-e3b1ba87db1e,N,LAYTOWN-BETTYSTOWN,13160401,MEATH,304261735.256714,154316.01909005
101,bb88684e-1db0-4eb4-8ac0-170ecc746e9d,N,LEIXLIP,1380406,KILDARE,11381803.03479,18138.8315637932
102,2ae19629-3ef4-13a3-e055-700012002301,Y,LETTERKENNY,1350405,DONEGAL,348864600.554962,150473.423164095
103,2ae19629-3ef4-13a3-e055-075000000001,Y,LIFFORD-STRANORLAR,1350406,DONEGAL,708123796.357605,175944.600904855
